feature_id,name_ar,field_availability_status,evidence_reference,ownership_status,legal_status,license_status,investment_value_status,area_status,infrastructure_status,institutional_confirmation_required,notes
LY-INV-RES-ZUW-00001,قرية إدوس السياحية,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-TRI-00001,قرية مرمرة السياحية,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00002,قرية فيرونا السياحية,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00003,قرية البرتقالة,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00004,قرية شط النخيل زوارة,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00006,منتجع رياض المنصوري,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00007,إقامة تولين السياحية,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00008,VILLA HAYA,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
LY-INV-RES-ZUW-00009,منتجع زين السياحي,"{""ownership_type"": ""institutional_confirmation_required"", ""ownership_entity"": ""institutional_confirmation_required"", ""legal_status"": ""institutional_confirmation_required"", ""license_status"": ""institutional_confirmation_required"", ""planning_status"": ""institutional_confirmation_required"", ""environmental_status"": ""institutional_confirmation_required"", ""investment_value"": ""institutional_confirmation_required"", ""estimated_cost"": ""institutional_confirmation_required"", ""currency"": ""institutional_confirmation_required"", ""site_area_m2"": ""institutional_confirmation_required"", ""site_area_hectares"": ""institutional_confirmation_required"", ""implementing_entity"": ""institutional_confirmation_required"", ""supervising_entity"": ""institutional_confirmation_required"", ""investor_name"": ""institutional_confirmation_required"", ""operator_name"": ""institutional_confirmation_required"", ""infrastructure_status"": ""institutional_confirmation_required"", ""completion_percentage"": ""institutional_confirmation_required""}",data/incoming/tourism-investment-projects.kml,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,institutional_confirmation_required,true,"Missing is not interpreted as negative, unlicensed, private, or stalled."
