"file","layer","placemarks","valid_coordinates","missing_coordinates","points_with_images","points_without_images","google_links","local_images","broken_links","duplicates","fields","categories","bounds"
"data/kml/akakus-local-images.kml","اكاكوس","198","198","0","21","177","21","0","0","0","X|X_COORD|Y|cat|extrude|gx_media_links|tessellate|visibility|الوصف","","23.49846,9.422547 .. 26.526341,13.064889"
"data/kml/akakus.kml","اكاكوس","198","198","0","21","177","21","0","0","0","X|X_COORD|Y|cat|extrude|gx_media_links|tessellate|visibility|الوصف","","23.49846,9.422547 .. 26.526341,13.064889"
"data/kml/developed/akakus-developed.kml","أكاكوس والفن الصخري","196","196","0","43","153","47","0","0","0","atlas_id|category|code|description|image_count|images_json|source_file","أثري معماري|بحيرة طبيعة|حدود ليبيا|طبيعي|طبيعي- أثري|طبيعي-أثري|فندق|قرية|قرية مؤهولة|مخيم|مدينة|مصدر مياه جوفية|مطار|ملاعب رياضية|منطقة سكنية|مواقع طبيعية|نقوش صخرية|هي احدى البرك المياه الطبيعية الواقعة في قلب الصحراء بمنطقة تادرارت أكاكوس وسط تكوينات صخرية شاهقة، تتجمع فيها المياه الأمطار لتشكل واحة مائية نادرة في بيئة صحراوية قاحلة وهي عبارة عن متحف مفتوح حيث تحتضن المنطقة العديد من النقوش الصخرية التي يعود بعضها الى أكثر من 12.000 سنة","23.49846,9.422547 .. 26.526341,13.5070249"
"data/kml/developed/hotels-developed.kml","الفنادق","572","572","0","239","333","861","0","0","44","address|atlas_id|category|city|description|image_count|images_json|name_en|phone|price_range|rooms|services|source_file","1 نجمة|2|2 نجمتان|3|3 من قبل الزوار|3 نجدوم|3 نجوم|3 نجوم فئة اقتصادية|3 نجوم من تقيم الزوار|3 نجوم من قبل الزوار|3 نمجوم من قبل الزوار|3 ونصف من الزوار|3.5 نجمة|3.5 نجمة من الزوار|3.6|3نجوم|3نجوم من قبل الزوار|4|4 من قبل الزوار|4 من قبل النزلاء|4 نجوم|4 نجوم تصنيف رسمي|4 نجوم من الزوار|4 نجوم من النزلاء|4 نجوم من تقيم الزوار|4 نجوم من قبل الزوار|4 نجوم من قبل النزلاء|4 نجوم من قبل تالزوار|4نجوم|5|5 من قبل الزوار|5 نجوم|5 نجوم ديلوكس|6 نجوم|N/A|UNK|أربع نجمات|أربع نجوم|اربعة نجوم|اقتصادي|اقتصادي و3 نجوم من قبل الزوار|المرافق المتوفرة: تحتوي الغرف على مكيف هواء، ثلاجة صغيرة، شاشة تلفزيون، إنترنت (واي فاي)، ودولاب ملابس صغير.الخدمة: يمتاز طاقم العمل بالمعاملة الجيدة والترحيب بالضيوف.|تحت الصيانى|تراثي معماري|تصنيف 4 نجوم من قبل الزوار|تقيم من النزلاء 4 نجوم|تم ترميمه وتحويله إلى مقهى ثقافي وسياحي مميز يجمع بين عبق التاريخ وأصالة المعمار الطرابلسي القديم|ثلاث نجوم|ثلاثة نجوم|خمس نجمات|خمس نجوم|سوبر لوكس|سياحي محلي|شقق|شقق فاخرة ديلوكس|شقق فدقية|شقق فندقية|شقق فندقية راقية|شقق فندقية صغيرة ملحق بقاعة مناسبات|شقق فندقية فاخرة|شقق فندقية مقيمة 4 من الزوار|شقق مقيمة 3 من الزوار|شقق ولكن مصنفة 4 نجوم من الزوتر|غير قابل للعب|غير معروف|فئة شعبية|فندق اقتصادي|فندق اقتصادي وصغير|فندق شعبي|قيم ب 4 من قبل الزوار لجودة الخدمات|لا تتوفر بالفندق أي خدمات حجز أو إقامة سياحية في الوقت الحالي.|لا توجد معلومات متوافرة|لا يوجد معلومات عن مرفق|لا يوجد معلومات متوافرة|لايوجد|لوكس|محجوز بالكامل للواحة للنفط|مريحة وراقية|مصنف 4 نجوم|مصنف 5 نجوم من قبل الزوار|مصنف رسميا من قبل (Hostelling International - HI)|معلم اثري وليس فندق تجاري|معلومات غير متوافر|مغلق حاليا|مغلق مؤقتا|مقفل بشكل مؤقت|من قبل الزوار4 نجوم|منتجع للعائلات فقط|موثع اثري|نجمة واحدة|نجمتان|نجمتان فئة اقتصادية|نجمتين|هوستل|يصنف باربع نجوم من قبل الزوار|يعود الفندق في الأصل لأحد وجهاء وتجار مدينة طرابلس القدامى وهو أحمد سيد بن قدارة.|يُصنف كفندق شعبي بسيط ذو خدمات أساسية ومحدودة،","24.958349,9.1691024 .. 32.933887,25.087399"
"data/kml/developed/old-tripoli-developed.kml","المدينة القديمة طرابلس","135","135","0","114","21","245","0","0","0","address|atlas_id|category|description|image_count|images_json|name_en|source_file",": بُني قديماً على صخرة متقدمة داخل البحر (على بعد حوالي 300 متر) عند مكسر الموج شمال أسوار المدينة|المبنى التاريخي المعروف بـ القنصلية الفرنسية السابقة في المدينة القديمة بطرابلس يُعرف حالياً باسم دار حسن الفقيه حسن للثقافة والفنون|انشطة ثقافية|باب او مدخل اثري للسوار المدينة القديمة|باب تاريخي|باب مدينة قديمة|بتزاريا|بجيرة|بوابة اثرية|تاريخي|تاريخي اثري معماري|تاريخي ثقافي|تاريخي ديني|تحولت المنطقة المحيطة به إلى سوق شعبي شهير ونشط يُعرف باسم ""سوق باب الحرية|ترتبط تسمية ""زنقة الزلمومية"" بـ ""السحلية الصغيرة"" (التي تُعرف شعبياً في ليبيا بالزلمومية)|جامع|جامع تاريخي|جامع ومعلم تاريخي|حصن اثري معماري|حمام|حمام نساء|ديني تاريخي|زاوية تعليمية|زقاق|زقاق تجاري|زقاق عتيق|زقاق عتيق تجاري تم ترميمه|زقاق من سوق الربع التاريخي|سوق|سوق تجاري الى اليوم|سوق شعبي|سوق عتيق|سوق قديم|عرصات رخامية تارخية|فندق|فندق عتيق تاريخي|قنصلية|كافي|كافيه|مؤسسة|مبنى|مبنى اداري|مبنى تاريخي|متحف|مدرسة|مدرسة دينية|مدرسة قديمة|مدينة قديمة|مسجد|مسجد عتيق جدا وكان يسمى مسجد العزي|مسجد عتيق ولازال يستقبل مصلين الى هذا اليوم|مسرح|مصنع تبغ|مطعم|مطعم باجواء اثرية تارخية|مطعم سياحي|مطعم شعبي على الطراز التقليدي|مطعم ومعرض ثراثي|معلم اثري|معلم اثري ( ابواب )|معلم اثري ( باب )|معلم اثري ( قوس)|معلم اثري تاريخي|معلم اثري تاريخي ديني|معلم اثري تاريخي ومعماري|معلم اثري معماري|معلم تاريخي|معلم تاريخي ( حنفية عمومية )|معلم تاريخي حرفي|معماري اثري|معماري اثري تاريخي|مقهى|مكان تاريخي|مكتبة قديمة محدثة|نادي رياضي|نوع المنشأة: مجمع صحي / رعاية صحية أولية (قطاع عام).","32.8912251,13.1664521 .. 32.9022222,13.1858333"
"data/kml/hotels-local-images.kml","الفنادق_LY","585","585","0","231","354","893","64","0","58","X|Y|description|gx_media_links|x|الاتصال|الاسم باللغة الانجليزية|التصنيف|الخدمات|العنوان|المدينـــة|الهـــاتف|الوصف|ت|خدمات|عدد الغرف|عــــدد الأسرة|عــــدد الغرف|عنــوان المرفـــــق|نطاق الأسعار|نطاق الاسعار|وسائل اتصال|وسائل الاتصال|وصف المرفق","","24.958349,9.1691024 .. 32.933887,25.087399"
"data/kml/hotels.kml","الفنادق_LY","585","585","0","231","354","829","0","0","58","X|Y|description|gx_media_links|x|الاتصال|الاسم باللغة الانجليزية|التصنيف|الخدمات|العنوان|المدينـــة|الهـــاتف|الوصف|ت|خدمات|عدد الغرف|عــــدد الأسرة|عــــدد الغرف|عنــوان المرفـــــق|نطاق الأسعار|نطاق الاسعار|وسائل اتصال|وسائل الاتصال|وصف المرفق","","24.958349,9.1691024 .. 32.933887,25.087399"
"data/kml/investment.kml","المشاريع وفرص الاستثمار السياحي","675","674","1","275","400","788","0","0","58","Y|description|gx_media_links|x|الاتصال|الاسعار|الاسم باللغة الانجليزية|التصنيف|التقييمات والانطباعات|الخدمات|الخدمات المتوفرة|العنوان|العنوان/المدينة|الوصف|اوقات العمل|عدد الاسرة|عدد الشاليهات|عدد الغرف|للحجز والاستفسار|معلومات اخرى|نطاق الأسعار|وسائل الاتصال","","24.958349,9.4908575 .. 33.1037,25.090603"
"data/kml/localized/akakus-localized.kml","اكاكوس","199","197","2","43","156","47","0","0","0","X|X_COORD|Y|gx_media_links|id|source|الاسم باللغة الانجليزية|التصنيف|الكود|الوصف","","23.49846,9.422547 .. 26.526341,13.5070249"
"data/kml/localized/hotels-localized.kml","الفنادق_LY","572","572","0","239","333","861","0","0","44","Mun|X|Y|description|gx_media_links|x|الاتصال|الاسم باللغة الانجليزية|التصنيف|الخدمات|العنوان|الفئة|المدينـــة|الهـــاتف|الوصف|ت|خدمات|رمز الدولة|عدد الغرف|عــــدد الأسرة|عــــدد الغرف|عنــوان المرفـــــق|نطاق الأسعار|نطاق الاسعار|وسائل اتصال|وسائل الاتصال|وصف المرفق","","24.958349,9.1691024 .. 32.933887,25.087399"
