action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00001,LY-HOT-000027,hotels,بيوت شباب غدامس,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,P2,classification_review|license_review,Multiple reasons,integrated,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00002,LY-HOT-000302,hotels,الفتح,مغلق مؤقتا,مغلق مؤقتا,P2,classification_review|license_review,Multiple reasons,integrated,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00003,LY-HOT-000310,hotels,زهرة الشمس,,,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00004,LY-HOT-000318,hotels,الحبايب,+218 92-5512135,+218 92-5512135,P2,classification_review|license_review,Multiple reasons,integrated,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00005,LY-HOT-000326,hotels,الفخامه للشقق المفروشه,091-0343800,091-0343800,P2,classification_review|license_review,Multiple reasons,integrated,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00006,LY-HOT-000327,hotels,اوس لشقق المفروشه,,,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00007,LY-HOT-000370,hotels,Sabratha youth hostel _بيت شباب صبراتة,,,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00008,LY-HOT-000373,hotels,المعهد القومي العلاج الأورام صبراتة,,,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00009,LY-HOT-000374,hotels,السيلفيوم للشقق المفروشة,,,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/hotels-team-update.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00010,LY-FNB-RES-TRI-00030,tripoliRestaurants,شنابو الدهماني زاوية,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
