original_filename,source_folder,relative_source_path,sha256,file_size,width,height,format,duplicate_group,visual_category,proposed_feature_id,proposed_feature_name_ar,proposed_feature_name_en,confidence,publication_status,rights_owner,rights_status,published_relative_path,review_notes
DJI_0288.JPG,official_center,صبراتة/DJI_0288.JPG,eb3970495dd0618e3c722209f9701402e35eb2f992110fb65a24280039f1508e,12021760,5280,3956,MPO,dup-eb3970495dd0,main-site,WH-WORLD-C0001,موقع صبراتة الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,مطابقة مؤكدة بالاسم والسياق
sabratha-museum-entrance2[1].jpg,official_center,صبراتة/sabratha-museum-entrance2[1].jpg,da4cce468fdabc9bd62e1027f3d36e3a253c9a9fefd7febddce76bbe395ebf0f,52787,500,308,JPEG,dup-da4cce468fda,roman-museum,WH-LY-002-C0019,متحف روماني,,medium,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/roman-museum/sabratha-roman-museum-001.jpg,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.06.jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.06.jpeg,4ca3ffb2019318df3c83531a5caa2f5f6eff7a7eec5a511ab893d8767e354a32,138785,1080,740,JPEG,dup-4ca3ffb20193,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (1).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (1).jpeg,eccf6b71be56c86166401780e2402b7ff8fb439babc0499406fcf7dc211dd913,118588,719,1080,JPEG,dup-eccf6b71be56,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (10).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (10).jpeg,79a714259abbb473aeb4475673a82a8c3beecf2d552499e5fdaad06e2b95741d,56433,1080,607,JPEG,dup-79a714259abb,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (11).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (11).jpeg,cde16931e4188669990933393c2af01813d78b49d3bd30f8a948dd661edd42b7,103099,1080,810,JPEG,dup-cde16931e418,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (12).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (12).jpeg,8543d85120ab86d0886377648c50cf1a36d42a433be91446bce78c8a0b92bf34,95092,1080,810,JPEG,dup-8543d85120ab,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (13).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (13).jpeg,b0e690a3a1e7811ca2e873279e41be5f748069dedc64d0a242263f331b2aac2d,133073,1080,810,JPEG,dup-b0e690a3a1e7,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (14).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (14).jpeg,5064cefce1d56fa525e4736a1268e9bf8362956b82462b6e5f1af9c89d1465be,140391,1080,810,JPEG,dup-5064cefce1d5,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (15).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (15).jpeg,b64f20b172d39393efde759f0634263baafb92bd21bb9bdb0dae6eb2411ce6d0,168348,1080,810,JPEG,dup-b64f20b172d3,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
