review_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,visual_match_status,destination_identity_status,reviewer_decision,verified_role,technical_quality,duplicate_decision,rights_status,publication_permission,attribution_required,source_credit,rights_evidence,reviewer_name,review_date,decision_confidence,manual_review_completed,notes
B1-DEC-B1IMG-000043,IMG-E18F2DAE0868EC75,IMG-E18F2DAE0868EC75,assets/images/akakus/akakus-LY-AKAKUS-00023-01.png,LY-AKA-000023,akakus,وادي ماتخيندوش,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000049,IMG-AC89DDC21CE84AE0,IMG-AC89DDC21CE84AE0,assets/images/akakus/akakus-LY-AKAKUS-00029-01.png,LY-AKA-000029,akakus,وادي أويس,verified_correct,specific_component_confirmed,approve_public,primary,acceptable,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000051,IMG-3A5DE817DBAE2AD4,IMG-3A5DE817DBAE2AD4,assets/images/akakus/akakus-LY-AKAKUS-00030-01.png,LY-AKA-000030,akakus,وادي أفاغ,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000055,IMG-1B31D51FCAA1AFD4,IMG-1B31D51FCAA1AFD4,assets/images/akakus/akakus-LY-AKAKUS-00032-01.png,LY-AKA-000032,akakus,وادي آمها,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000061,IMG-59BD0D3A8231D05C,IMG-59BD0D3A8231D05C,assets/images/akakus/akakus-LY-AKAKUS-00037-01.png,LY-AKA-000037,akakus,وادي أمركا,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000075,IMG-4CE555A680866449,IMG-4CE555A680866449,assets/images/akakus/akakus-LY-AKAKUS-00049-01.png,LY-AKA-000049,akakus,تين لالان,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000077,IMG-EE7F408CE9AABF02,IMG-EE7F408CE9AABF02,assets/images/akakus/akakus-LY-AKAKUS-00106-01.png,LY-AKA-000106,akakus,متخندوش,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000081,IMG-E9D68E93DA77F5A1,IMG-E9D68E93DA77F5A1,assets/images/akakus/akakus-LY-AKAKUS-00155-01.png,LY-AKA-000155,akakus,الفيوت,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000083,IMG-3795EF0B47BCE1DA,IMG-3795EF0B47BCE1DA,assets/images/akakus/akakus-LY-AKAKUS-00156-01.png,LY-AKA-000156,akakus,غات,verified_correct,specific_component_confirmed,approve_public,primary,acceptable,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000121,IMG-473CAE5715AC1422,IMG-473CAE5715AC1422,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00004-02.png,LY-TRI-000004,old-tripoli,قوس ماركوس اوريليوس,verified_correct,specific_component_confirmed,approve_public,primary,acceptable,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
