record_a_id,record_a_name,record_a_geometry,record_b_id,record_b_name,record_b_geometry,distance_meters,polygon_overlap_percent,name_similarity,duplicate_classification,recommended_action,notes
LY-INV-RES-KHO-00005,قرية قوس غنيمة السياحية,Point,LY-INV-RES-NAT-00024,قرية قوس غنيمة السياحية,Point,16.5,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-KHO-00007,قرية شمس البحر,Point,LY-INV-RES-NAT-00026,قرية شمس البحر,Point,40.9,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-NAT-00038,منتجع الينابيع السياحي,Point,LY-INV-EXP-SHA-00001,منتجع الينابيع السياحي,Point,44.1,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-DER-00001,منتجع إيميليا السياحي,Point,LY-INV-RES-DER-00003,منتجع ايميليا,Point,20.4,0,0.786,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-SHA-00001,منتج شحات السياحي,Point,LY-INV-RES-SHA-00010,منتجع شحات السياحي,Point,11.5,0,0.897,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-SHA-00002,منتجع وموتيل الأمان 1,Point,LY-INV-RES-SHA-00011,منتجع وموتيل الأمان,Point,44.4,0,0.968,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-RES-KHO-00018,إستراحات فردية درجة أولى,Point,LY-INV-RES-SHA-00006,إستراحات فردية,Point,65.9,0,0.75,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-BAY-00002,فندق لؤلؤة الخليج,Point,LY-INV-HOT-BAY-00007,فندق لؤلؤة الخليج البيضاء,Point,72.9,0,0.812,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-GHA-00002,فندق بن يدر,Point,LY-INV-HOT-NAT-00056,فندق بن يدر,Point,0.7,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-GHA-00002,فندق بن يدر,Point,LY-INV-HOT-NAT-00168,فندق بن يدر,Point,0.7,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-GHA-00003,فندق نجوم غدامس,Point,LY-INV-HOT-GHA-00007,فندق نجوم غدامس,Point,2.5,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-GHA-00003,فندق نجوم غدامس,Point,LY-INV-HOT-GHA-00008,فندق نجوم غدامس,Point,2.5,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-TRI-00008,فندق بلازما,Point,LY-INV-HOT-NAT-00055,فندق بلازما,Point,8.7,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-TRI-00008,فندق بلازما,Point,LY-INV-HOT-NAT-00167,فندق بلازما,Point,8.7,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-TRI-00008,فندق بلازما,Point,LY-INV-HOT-TRI-00046,فندق بلازما,Point,15.9,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00014,فندق الجبل,Point,LY-INV-HOT-NAT-00099,فندق الجبل,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00016,فندق الحديقة,Point,LY-INV-HOT-NAT-00103,فندق الحديقة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00017,فندق الحمام السياحي,Point,LY-INV-HOT-NAT-00104,فندق الحمام السياحي,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00018,فندق الحياة,Point,LY-INV-HOT-NAT-00105,فندق الحياة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-TRI-00012,فندق الخان الطرابلسي,Point,LY-INV-HOT-TRI-00022,فندق الخان الطرابلسي,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00020,فندق الخليل السياحي,Point,LY-INV-HOT-NAT-00106,فندق الخليل السياحي,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00021,فندق الدوحة,Point,LY-INV-HOT-NAT-00107,فندق الدوحة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00023,فندق الرابطة,Point,LY-INV-HOT-NAT-00257,فندق الرابطة,Point,22.5,0,1,possible_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-TRI-00014,فندق الريان,Point,LY-INV-HOT-TRI-00038,فندق الثريا,Point,95.0,0,0.778,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00025,فندق الزهر,Point,LY-INV-HOT-NAT-00109,فندق الزهر,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00026,فندق الزيتونة,Point,LY-INV-HOT-NAT-00110,فندق الزيتونة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00027,فندق السرايا,Point,LY-INV-HOT-NAT-00111,فندق السرايا,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-ZUW-00002,فندق زوارة,Point,LY-INV-HOT-ZUW-00003,فندق زوارة,Point,179.1,0,1,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-ZUW-00002,فندق زوارة,Point,LY-INV-HOT-ZUW-00004,فندق زوارة,Point,179.1,0,1,review_required,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00028,فندق السهم,Point,LY-INV-HOT-NAT-00113,فندق السهم,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00029,فندق السياحي,Point,LY-INV-HOT-NAT-00114,فندق السياحي,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00033,فندق الصحراوي,Point,LY-INV-HOT-NAT-00116,فندق الصحراوي,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-MIS-00004,فندق الصناعية مصراتة,Point,LY-INV-HOT-MIS-00006,فندق الصناعية مصراتة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
LY-INV-HOT-NAT-00039,فندق الكرومة,Point,LY-INV-HOT-NAT-00125,فندق الكرومة,Point,0.0,0,1,confirmed_duplicate,review; no automatic merge,Co-located opportunities may be distinct or parent/child.
