feature_id,facility_name_ar,image_id,current_rights_status,likely_rights_holder,evidence_available,required_confirmation,recommended_contact,publication_blocker,priority,notes
LY-HOT-000001,فندق كورنثيا,IMG-FA97329E9A9EC2B8,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000002,فندق بينثابوليس,IMG-498ED4DC235794F3,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000003,فندق جوهرة الواحة,IMG-B802642D83C0705A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000004,فندق تبرس,IMG-D290D5E752B7F249,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000005,منتجع شحات السياحي,IMG-02BE325FA2853805,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000006,فندق المنارة,IMG-C1C05F1A9D79A78A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000007,فندق لؤلؤة الخليج,IMG-7703B3398C7DF70E,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000008,فندق التلال الوسيطة البيضاء,IMG-5EB2C1FAE325444C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000009,العنود للشقق الفندقية,IMG-819089A3F33FB55C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000010,فندق الثريا,IMG-55D8F93ACEA7906A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000011,منتجع الينابيع السياحي,IMG-65AB52B2F6CC48F7,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000012,فندق برقة,IMG-119A09082CDA83D7,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000018,فندق الطاووس,IMG-70EDD68175987801,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000019,فندق الودان,IMG-6A860408D3A66731,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000020,فندق دار السلام ( المسيرة سابقا ),IMG-872A6D479BE28E01,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000021,فندق سان جورج,IMG-3CBAB36D93017A02,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000022,فندق الحسنين الكبير,IMG-19C3F36AD1E19044,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000023,بيوت الشباب,IMG-56A6440E48860943,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),IMG-F5D8E40E6C1EA4DB,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000025,منتجع ايميليا,IMG-E4FA3718C8C00988,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000026,منتجع وموتيل الأمان,IMG-2B0470543FB41D5D,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000027,بيوت شباب غدامس,IMG-76159BDC315DE906,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000028,نالوت غدامس فندق باب العز,IMG-EEC9D5AE902233A5,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000029,فندق أبراج الوسطى,IMG-0F373BA333C2EBDE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000031,فندق قصر الفيروز,IMG-4B53EBB6AABCC1D3,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000032,Royal Gardens Hotels,IMG-5BA106F592D0332E,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000034,فندق احواص,IMG-5ED99B628601EBD3,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000035,فندق الانوار,IMG-657CB03042B5C04B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000036,فندق الأخوة,IMG-02413AAE55399FB1,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000037,فندق الأصالة,IMG-5806382F3E321975,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000038,فندق الأصيل,IMG-2BEC7C4B87BFEE2A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000039,فندق الأندلس,IMG-95E3447DAE58A495,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
