id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-FNB-CAF-TRI-00001,كافي 92,medium,55,district|opening_hours|services|license|image,integrated,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00002,مقهى أسبانيول,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00003,إيّلا كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00004,Cave cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00005,كافي دي ماري,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00006,Café de Roma,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00007,كافي كيان,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00008,لاتازا كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00009,Mondo Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00010,برانش كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00011,كافي تايم,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00012,Le Corner Cafe Shop,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00013,مقهى سينابون,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00014,مقهى الحاج فتحي زاوية الدهماني,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00015,La Citta Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00016,كافيه كالدو,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00017,Avero Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00018,كافي كورنيتو,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00019,مقهى الزيتونة,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00020,الباتشينو كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00021,aroma Caffe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00022,كافي كازا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00023,مقهى بيانكي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00024,مونتريال كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00025,كافي موكا ايطاليا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00026,ALMONDO CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00027,مقهى القادسية,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00028,مقهي جردينه,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00029,Milka Ly,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00030,Cafe twins,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00031,Mazaj cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00032,مقهى حب هان,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00033,مقهي كافي لاتي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00034,كافي نيوتلا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00035,City CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00036,GARDEN CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00037,Papparoti Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00038,Caffe Vergnano 1882,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00039,Cafe 24,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00040,مقهى دا فيو,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00041,كارفي كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00042,Estados coffee,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
