layer_id,field_name,total_features,available_count,missing_count,availability_percent,priority,responsible_entity_required,collection_method,update_frequency,notes
hotels,description_ar,572,572,0,100.0,low,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
hotels,phone,572,160,412,28.0,medium,المنشأة أو المشغل,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
hotels,local_images,572,235,337,41.1,medium,الجهة المالكة أو فريق التوثيق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
hotels,license_status,572,0,572,0.0,high,جهة الترخيص المختصة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
hotels,rooms,572,25,547,4.4,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
hotels,beds,572,1,571,0.2,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,description_ar,75,75,0,100.0,low,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,phone,75,75,0,100.0,low,المنشأة أو المشغل,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,local_images,75,0,75,0.0,high,الجهة المالكة أو فريق التوثيق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,license_status,75,0,75,0.0,high,جهة الترخيص المختصة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,cuisine_type_ar,75,0,75,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliRestaurants,opening_hours,75,0,75,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,description_ar,404,311,93,77.0,low,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,phone,404,1,403,0.2,high,المنشأة أو المشغل,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,local_images,404,0,404,0.0,high,الجهة المالكة أو فريق التوثيق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,license_status,404,0,404,0.0,high,جهة الترخيص المختصة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,services_ar,404,0,404,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
tripoliCafes,opening_hours,404,0,404,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,description_ar,262,262,0,100.0,low,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,phone,262,122,140,46.6,medium,المنشأة أو المشغل,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,local_images,262,0,262,0.0,high,الجهة المالكة أو فريق التوثيق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,license_status,262,0,262,0.0,high,جهة الترخيص المختصة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,units,262,28,234,10.7,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,capacity,262,0,262,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
resorts,operational_status,262,0,262,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,description_ar,673,673,0,100.0,low,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,local_images,673,0,673,0.0,high,الجهة المالكة أو فريق التوثيق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,license_status,673,0,673,0.0,high,جهة الترخيص المختصة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,site_area_m2,673,0,673,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,ownership_type,673,0,673,0.0,high,مصلحة أملاك الدولة أو الجهة المالكة,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,legal_status,673,0,673,0.0,high,الجهة القانونية أو التسجيل العقاري,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,infrastructure_status,673,0,673,0.0,high,البلدية وشركات المرافق,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
investment,estimated_cost,673,0,673,0.0,high,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative_registry_or_direct_verification,annual_or_on_material_change,"Required completion entity, not asserted as the source of current data."
