case_id,layer_id,record_a_id,record_a_name,record_b_id,record_b_name,distance_meters,name_similarity,geometry_relationship,previous_classification,final_classification,canonical_id,retired_id,action,confidence,decision_basis,fields_transferred,conflicting_fields,legacy_ids_preserved,requires_manual_review,notes
DUP-0001,hotels,LY-HOT-000017,فندق فكتوريا,LY-HOT-000536,فندق فكتوريا,7.1,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0002,hotels,LY-HOT-000036,فندق الأخوة,LY-HOT-000418,فندق الاخوة,6.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0003,hotels,LY-HOT-000037,فندق الأصالة,LY-HOT-000419,فندق الاصالة,18.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0004,hotels,LY-HOT-000039,فندق الأندلس,LY-HOT-000420,فندق الاندلس,16.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0005,hotels,LY-HOT-000048,فندق الحمام السياحي,LY-HOT-000136,فندق الحمام السياحي,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000048,LY-HOT-000136,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0006,hotels,LY-HOT-000049,فندق الخان الطرابلسي,LY-HOT-000137,فندق الخان الطرابلسي,5.5,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0007,hotels,LY-HOT-000049,فندق الخان الطرابلسي,LY-HOT-000428,فندق الخان الطرابلسي,6.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0008,hotels,LY-HOT-000050,فندق الخليج,LY-HOT-000375,فندق الخليج,5.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0009,hotels,LY-HOT-000050,فندق الخليج,LY-HOT-000429,فندق الخليج,1.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0010,hotels,LY-HOT-000051,فندق الدبلوماسي,LY-HOT-000432,فندق الدبلوماسي,1.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
