case_id,feature_id,layer_id,name_ar,p1_reason,current_classification,current_status,evidence_type,evidence_reference,resolution_type,fields_changed,old_values,new_values,confidence,institutional_confirmation_required,responsible_entity,publication_impact,final_review_status,notes
REV-00548,LY-INV-REV-GHA-00001,investment,Hotel bab al fatah,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00549,LY-INV-REV-SHA-00001,investment,بيوت الشباب,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00550,LY-INV-REV-GHA-00002,investment,بيوت شباب غدامس,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00551,LY-INV-REV-TRI-00001,investment,نزل طرابلس الحديث,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00552,LY-INV-REV-NAT-00001,investment,القرية السياحية قاريونس,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00553,LY-INV-REV-NAT-00002,investment,نزل المدينة,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00554,LY-INV-REV-NAT-00003,investment,نزل أمباي,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00555,LY-INV-REV-NAT-00004,investment,نزل بيروت,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00556,LY-INV-REV-NAT-00005,investment,نزل مرحبا,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00557,LY-INV-REV-TRI-00003,investment,نزل كيلو بتراء,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00558,LY-INV-REV-NAT-00006,investment,الفتح,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
