review_case_id,feature_id,layer_id,name_ar,review_reason_codes,priority,current_value,issue_description,required_action,required_entity,suggested_collection_method,evidence_available,automatic_resolution_possible,manual_review_required,status,notes
REV-00001,LY-HOT-000027,hotels,بيوت شباب غدامس,classification_review|license_review,P2,integrated,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00002,LY-HOT-000302,hotels,الفتح,classification_review|license_review,P2,integrated,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00003,LY-HOT-000310,hotels,زهرة الشمس,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00004,LY-HOT-000318,hotels,الحبايب,classification_review|license_review,P2,integrated,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00005,LY-HOT-000326,hotels,الفخامه للشقق المفروشه,classification_review|license_review,P2,integrated,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00006,LY-HOT-000327,hotels,اوس لشقق المفروشه,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00007,LY-HOT-000370,hotels,Sabratha youth hostel _بيت شباب صبراتة,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00008,LY-HOT-000373,hotels,المعهد القومي العلاج الأورام صبراتة,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00009,LY-HOT-000374,hotels,السيلفيوم للشقق المفروشة,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00010,LY-FNB-RES-TRI-00030,tripoliRestaurants,شنابو الدهماني زاوية,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00011,LY-FNB-RES-TRI-00032,tripoliRestaurants,أيلا كافي,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00012,LY-FNB-RES-TRI-00033,tripoliRestaurants,لاتينو,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00013,LY-FNB-RES-TRI-00035,tripoliRestaurants,إنديامو,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00014,LY-FNB-RES-TRI-00047,tripoliRestaurants,Pamplona cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00015,LY-FNB-RES-TRI-00049,tripoliRestaurants,مقهى البريوشة,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00016,LY-FNB-RES-TRI-00060,tripoliRestaurants,Lavina House,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00017,LY-FNB-RES-TRI-00066,tripoliRestaurants,برانش كافي - برنش كافيه,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00018,LY-FNB-RES-TRI-00071,tripoliRestaurants,ديفيو سبان,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00019,LY-FNB-RES-TRI-00075,tripoliRestaurants,شيزي زياد فرع زناتة,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00020,LY-FNB-CAF-TRI-00002,tripoliCafes,مقهى أسبانيول,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00021,LY-FNB-CAF-TRI-00003,tripoliCafes,إيّلا كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00022,LY-FNB-CAF-TRI-00004,tripoliCafes,Cave cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00023,LY-FNB-CAF-TRI-00005,tripoliCafes,كافي دي ماري,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00024,LY-FNB-CAF-TRI-00006,tripoliCafes,Café de Roma,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00025,LY-FNB-CAF-TRI-00007,tripoliCafes,كافي كيان,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00026,LY-FNB-CAF-TRI-00008,tripoliCafes,لاتازا كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00027,LY-FNB-CAF-TRI-00009,tripoliCafes,Mondo Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00028,LY-FNB-CAF-TRI-00010,tripoliCafes,برانش كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00029,LY-FNB-CAF-TRI-00011,tripoliCafes,كافي تايم,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00030,LY-FNB-CAF-TRI-00012,tripoliCafes,Le Corner Cafe Shop,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00031,LY-FNB-CAF-TRI-00013,tripoliCafes,مقهى سينابون,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00032,LY-FNB-CAF-TRI-00014,tripoliCafes,مقهى الحاج فتحي زاوية الدهماني,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00033,LY-FNB-CAF-TRI-00015,tripoliCafes,La Citta Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00034,LY-FNB-CAF-TRI-00016,tripoliCafes,كافيه كالدو,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00035,LY-FNB-CAF-TRI-00017,tripoliCafes,Avero Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00036,LY-FNB-CAF-TRI-00018,tripoliCafes,كافي كورنيتو,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00037,LY-FNB-CAF-TRI-00019,tripoliCafes,مقهى الزيتونة,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00038,LY-FNB-CAF-TRI-00020,tripoliCafes,الباتشينو كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00039,LY-FNB-CAF-TRI-00021,tripoliCafes,aroma Caffe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00040,LY-FNB-CAF-TRI-00022,tripoliCafes,كافي كازا,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00041,LY-FNB-CAF-TRI-00023,tripoliCafes,مقهى بيانكي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00042,LY-FNB-CAF-TRI-00024,tripoliCafes,مونتريال كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00043,LY-FNB-CAF-TRI-00025,tripoliCafes,كافي موكا ايطاليا,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00044,LY-FNB-CAF-TRI-00026,tripoliCafes,ALMONDO CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00045,LY-FNB-CAF-TRI-00027,tripoliCafes,مقهى القادسية,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00046,LY-FNB-CAF-TRI-00028,tripoliCafes,مقهي جردينه,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00047,LY-FNB-CAF-TRI-00029,tripoliCafes,Milka Ly,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00048,LY-FNB-CAF-TRI-00030,tripoliCafes,Cafe twins,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00049,LY-FNB-CAF-TRI-00031,tripoliCafes,Mazaj cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00050,LY-FNB-CAF-TRI-00032,tripoliCafes,مقهى حب هان,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00051,LY-FNB-CAF-TRI-00033,tripoliCafes,مقهي كافي لاتي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00052,LY-FNB-CAF-TRI-00034,tripoliCafes,كافي نيوتلا,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00053,LY-FNB-CAF-TRI-00035,tripoliCafes,City CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00054,LY-FNB-CAF-TRI-00036,tripoliCafes,GARDEN CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00055,LY-FNB-CAF-TRI-00037,tripoliCafes,Papparoti Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00056,LY-FNB-CAF-TRI-00038,tripoliCafes,Caffe Vergnano 1882,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00057,LY-FNB-CAF-TRI-00039,tripoliCafes,Cafe 24,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00058,LY-FNB-CAF-TRI-00040,tripoliCafes,مقهى دا فيو,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00059,LY-FNB-CAF-TRI-00041,tripoliCafes,كارفي كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00060,LY-FNB-CAF-TRI-00042,tripoliCafes,Estados coffee,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00061,LY-FNB-CAF-TRI-00043,tripoliCafes,FIFTY CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00062,LY-FNB-CAF-TRI-00044,tripoliCafes,Elon Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00063,LY-FNB-CAF-TRI-00045,tripoliCafes,عصائر بي?اندا,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00064,LY-FNB-CAF-TRI-00046,tripoliCafes,Café Solo,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00065,LY-FNB-CAF-TRI-00047,tripoliCafes,دكتور كيف,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00066,LY-FNB-CAF-TRI-00048,tripoliCafes,Commercial Caffe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00067,LY-FNB-CAF-TRI-00049,tripoliCafes,مقهى الجسر,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00068,LY-FNB-CAF-TRI-00050,tripoliCafes,PALMS CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00069,LY-FNB-CAF-TRI-00051,tripoliCafes,مقهى التومى,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00070,LY-FNB-CAF-TRI-00052,tripoliCafes,مقهي باديه,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00071,LY-FNB-CAF-TRI-00053,tripoliCafes,المقهى الرئاسي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00072,LY-FNB-CAF-TRI-00054,tripoliCafes,مقهي عين زاره,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00073,LY-FNB-CAF-TRI-00055,tripoliCafes,Atomo Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00074,LY-FNB-CAF-TRI-00056,tripoliCafes,Bono Cafe,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00075,LY-FNB-CAF-TRI-00057,tripoliCafes,كافي أربن,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00076,LY-FNB-CAF-TRI-00058,tripoliCafes,Mio Caffe and Resto,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00077,LY-FNB-CAF-TRI-00059,tripoliCafes,Tripoli Tur café,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00078,LY-FNB-CAF-TRI-00060,tripoliCafes,كافيه ميدان الجزائر,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
