action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00548,LY-INV-REV-GHA-00001,investment,Hotel bab al fatah,غدامس,غدامس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00549,LY-INV-REV-SHA-00001,investment,بيوت الشباب,شحات,شحات,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00550,LY-INV-REV-GHA-00002,investment,بيوت شباب غدامس,غدامس,غدامس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00551,LY-INV-REV-TRI-00001,investment,نزل طرابلس الحديث,طرابلس,طرابلس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00552,LY-INV-REV-NAT-00001,investment,القرية السياحية قاريونس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00553,LY-INV-REV-NAT-00002,investment,نزل المدينة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00554,LY-INV-REV-NAT-00003,investment,نزل أمباي,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00555,LY-INV-REV-NAT-00004,investment,نزل بيروت,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00556,LY-INV-REV-NAT-00005,investment,نزل مرحبا,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00557,LY-INV-REV-TRI-00003,investment,نزل كيلو بتراء,طرابلس,طرابلس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
