id,name_ar,readiness_score,readiness_level,missing_fields,method,disclaimer
LY-INV-RES-ZUW-00001,قرية إدوس السياحية,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-TRI-00001,قرية مرمرة السياحية,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00002,قرية فيرونا السياحية,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00003,قرية البرتقالة,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00004,قرية شط النخيل زوارة,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00006,منتجع رياض المنصوري,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00007,إقامة تولين السياحية,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00008,VILLA HAYA,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00009,منتجع زين السياحي,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00010,قرية تيبودا السياحيه,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
LY-INV-RES-ZUW-00011,منتجع سيتي بارك زوارة,30,insufficient_data,legal|ownership|infrastructure|license|finance|status|entity,preliminary_data_readiness_assessment,Not a legal approval or investment decision.
