record_a_layer,record_a_id,record_a_name,record_b_layer,record_b_id,record_b_name,distance_meters,name_similarity,geometry_relationship,duplicate_classification,recommended_action,confidence,notes
hotels,LY-HOT-000017,فندق فكتوريا,hotels,LY-HOT-000536,فندق فكتوريا,7.1,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000019,فندق الودان,hotels,LY-HOT-000492,فندق الودان,49.8,1,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000036,فندق الأخوة,hotels,LY-HOT-000418,فندق الاخوة,6.2,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000037,فندق الأصالة,hotels,LY-HOT-000419,فندق الاصالة,18.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000039,فندق الأندلس,hotels,LY-HOT-000420,فندق الاندلس,16.2,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000048,فندق الحمام السياحي,hotels,LY-HOT-000136,فندق الحمام السياحي,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000049,فندق الخان الطرابلسي,hotels,LY-HOT-000137,فندق الخان الطرابلسي,5.5,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000049,فندق الخان الطرابلسي,hotels,LY-HOT-000428,فندق الخان الطرابلسي,6.2,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000050,فندق الخليج,hotels,LY-HOT-000375,فندق الخليج,5.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000050,فندق الخليج,hotels,LY-HOT-000429,فندق الخليج,1.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000051,فندق الدبلوماسي,hotels,LY-HOT-000432,فندق الدبلوماسي,1.2,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000052,فندق الدوحة,hotels,LY-HOT-000433,فندق الدوحة,19.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000053,فندق الديار,hotels,LY-HOT-000434,فندق الديار,2.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000054,فندق الرابطة,hotels,LY-HOT-000340,فندق الرابطة,3.6,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000055,فندق الرفيع,hotels,LY-HOT-000442,فندق الرفيع,12.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000056,فندق الريان,hotels,LY-HOT-000444,فندق الريان,3.6,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000057,فندق الزهر,hotels,LY-HOT-000139,فندق الزهر,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000059,فندق السرايا,hotels,LY-HOT-000141,فندق السرايا,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000060,فندق زوارة,hotels,LY-HOT-000142,فندق السلام,0.0,0.353,within_layer_proximity,probable_duplicate,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000061,فندق السندباد,hotels,LY-HOT-000453,فندق السندباد,4.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000062,فندق الشجرة,hotels,LY-HOT-000455,فندق الشجرة,14.8,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000064,فندق الشمس,hotels,LY-HOT-000456,فندق الشمس,8.8,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000065,فندق الصفوة,hotels,LY-HOT-000572,فندق الصفوة,16.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000066,فندق الصناعية مصراتة,hotels,LY-HOT-000147,فندق الصناعية مصراتة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000067,فندق الصولجان,hotels,LY-HOT-000459,فندق الصولجان,1.9,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000068,فندق العاصمة,hotels,LY-HOT-000462,فندق العاصمة,23.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000071,فندق القوس,hotels,LY-HOT-000470,فندق القوس,11.8,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000073,فندق الكرومة,hotels,LY-HOT-000156,فندق الكرومة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000075,فندق المتوسط,hotels,LY-HOT-000158,فندق المتوسط الخمس,0.0,0.833,within_layer_proximity,probable_duplicate,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000076,فندق المدينة,hotels,LY-HOT-000161,فندق المدينة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000077,فندق المشكاة,hotels,LY-HOT-000165,فندق المشكاة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000077,فندق المشكاة,hotels,LY-HOT-000482,فندق المشكاة,11.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000078,فندق المنامة,hotels,LY-HOT-000483,فندق المنامة,29.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000079,فندق النخلة,hotels,LY-HOT-000169,فندق النخلة السياحي,0.0,0.75,within_layer_proximity,probable_duplicate,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000081,فندق النهر,hotels,LY-HOT-000486,فندق النهر,4.9,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000082,فندق الهنشيري,hotels,LY-HOT-000173,فندق الهنشيري,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000083,فندق الهيشة,hotels,LY-HOT-000174,فندق الهيشة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000084,فندق الواحات,hotels,LY-HOT-000175,فندق الواحات,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000084,فندق الواحات,hotels,LY-HOT-000490,فندق الواحات,3.5,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000085,فندق الياسمين,hotels,LY-HOT-000177,فندق الياسمين,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000085,فندق الياسمين,hotels,LY-HOT-000493,فندق الياسمينة,88.7,0.957,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000086,فندق أجنحة قرطاج,hotels,LY-HOT-000185,فندق أجنحة قرطاج,10.2,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000088,فندق بنت السيد,hotels,LY-HOT-000197,فندق بنت السيد,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000089,فندق بودلغوسة,hotels,LY-HOT-000199,فندق بودلغوسة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000090,فندق بيت الأمان,hotels,LY-HOT-000509,فندق بيت الامان,33.9,1,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000091,فندق بيت الشرق,hotels,LY-HOT-000510,فندق بيت الشرق,14.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000092,فندق تابكت,hotels,LY-HOT-000200,فندق تابكت,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000093,لانكاستر برج الحياة ( ماريوت سابقا),hotels,LY-HOT-000569,لانكاستر برج الحياة (ماريوت سابقا),69.6,1,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000096,فندق ليبوس,hotels,LY-HOT-000212,فندق ريباس,0.0,0.5,within_layer_proximity,probable_duplicate,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000097,فندق ريكسوس,hotels,LY-HOT-000213,فندق ريكسوس,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000098,فندق زليتن,hotels,LY-HOT-000214,فندق زليتن,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000099,فندق زميت,hotels,LY-HOT-000215,فندق زميت,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000100,فندق زوارة,hotels,LY-HOT-000217,فندق زوارة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000101,فندق سرايا الليبو,hotels,LY-HOT-000219,فندق سرايا الليبو,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000103,فندق سفاري 2,hotels,LY-HOT-000220,فندق سفاري 2,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000104,فندق شروق افريقيا,hotels,LY-HOT-000222,فندق شروق افريقيا,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000105,فندق ضيافة ونيس,hotels,LY-HOT-000224,فندق ضيافة ونيس,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000105,فندق ضيافة ونيس,hotels,LY-HOT-000530,فندق ضيافة ونيس,10.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000106,فندق طرابلس الدولي,hotels,LY-HOT-000531,فندق طرابلس الدولى,16.7,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000107,فندق طليطلة,hotels,LY-HOT-000225,فندق طليطلة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000107,فندق طليطلة,hotels,LY-HOT-000532,فندق طليطلة,22.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000108,فندق طيبة,hotels,LY-HOT-000533,فندق طيبة,3.9,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000109,فندق عمير,hotels,LY-HOT-000534,فندق عمير,12.5,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000111,فندق غابة الكشافة,hotels,LY-HOT-000227,فندق غابة الكشافة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000112,فندق غريان السياحي,hotels,LY-HOT-000228,فندق غريان السياحي,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000112,فندق غريان السياحي,hotels,LY-HOT-000342,فندق غريان السياحي,1.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000113,فندق قرطاج,hotels,LY-HOT-000231,فندق قرطاج,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000114,فندق قصر الظهرة,hotels,LY-HOT-000233,فندق قصر الظهرة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000115,فندق قصر الفيروز,hotels,LY-HOT-000235,فندق قصر الفيروز,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000116,فندق قمر صبراتة,hotels,LY-HOT-000240,فندق قمر صبراتة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000117,فندق كونتنتال,hotels,LY-HOT-000242,فندق كونتنتال,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000119,فندق ليالي قرطاج,hotels,LY-HOT-000244,فندق ليالي قرطاج,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000121,فندق مادي الحسان,hotels,LY-HOT-000245,فندق مادي الحسان,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000122,فندق واستراحة جادو,hotels,LY-HOT-000248,فندق واستراحة جادو,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000124,فندق ومطعم النزهة,hotels,LY-HOT-000249,فندق ومطعم النزهة,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000125,فندق يفرن,hotels,LY-HOT-000250,فندق يفرن,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000126,طرابلس للشقق الفندقية,hotels,LY-HOT-000255,طرابلس للشقق الفندقية,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000127,نزل طرابلس الحديث,hotels,LY-HOT-000259,نزل طرابلس الحديث,0.0,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000130,فندق البتراء,hotels,LY-HOT-000421,فندق البتراء,22.3,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000137,فندق الخان الطرابلسي,hotels,LY-HOT-000428,فندق الخان الطرابلسي,0.9,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
hotels,LY-HOT-000138,فندق الرحاب,hotels,LY-HOT-000439,فندق الرحاب,33.3,1,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000138,فندق الرحاب,hotels,LY-HOT-000440,فندق الرحاب 1,23.9,0.947,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000138,فندق الرحاب,hotels,LY-HOT-000441,فندق الرحاب 2,64.4,0.947,within_layer_proximity,review_required,retain_and_review,medium,No automatic merge performed
hotels,LY-HOT-000157,فندق المبروك,hotels,LY-HOT-000476,فندق المبروك,22.4,1,within_layer_proximity,confirmed_duplicate,retain_and_review,high,No automatic merge performed
