action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00014,LY-FNB-RES-TRI-00047,tripoliRestaurants,Pamplona cafe,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00020,LY-FNB-CAF-TRI-00002,tripoliCafes,مقهى أسبانيول,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00021,LY-FNB-CAF-TRI-00003,tripoliCafes,إيّلا كافي,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00022,LY-FNB-CAF-TRI-00004,tripoliCafes,Cave cafe,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00023,LY-FNB-CAF-TRI-00005,tripoliCafes,كافي دي ماري,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00024,LY-FNB-CAF-TRI-00006,tripoliCafes,Café de Roma,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00025,LY-FNB-CAF-TRI-00007,tripoliCafes,كافي كيان,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00026,LY-FNB-CAF-TRI-00008,tripoliCafes,لاتازا كافي,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00027,LY-FNB-CAF-TRI-00009,tripoliCafes,Mondo Cafe,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00028,LY-FNB-CAF-TRI-00010,tripoliCafes,برانش كافي,طرابلس,طرابلس,P3,license_review,license_review,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",جهة الترخيص السياحي,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
