folder_path,detected_layer,image_count,supported_images,corrupt_images,assignment_basis,user_curated_layer,runtime_layer_exists,notes
assets/images/akakus,akakus,94,94,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/images/hotels,hotels,1590,1590,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/images/investment,investment,1394,1394,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/images/old-tripoli,old-tripoli,484,484,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/images/resorts,resorts,18,18,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/images/world-heritage,world-heritage,102,102,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA,unclassified,34,34,0,user_curated_folder_structure,False,False,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/features,world-heritage,1,1,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/features/archaeological-theatre,world-heritage,2,2,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica,world-heritage,5,5,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/features/fountain-of-apollo,world-heritage,1,1,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/features/greek-agora,world-heritage,5,5,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/main-site,world-heritage,2,2,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/cyrene/published/review-required,world-heritage,44,44,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/ghadames/published/ain-al-faras,world-heritage,1,1,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/ghadames/published/main-site,world-heritage,4,4,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/ghadames/published/review-required,world-heritage,33,33,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/official,world-heritage,31,31,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published,world-heritage,38,38,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published/main-site,world-heritage,55,55,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published/review-required,world-heritage,82,82,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published/roman-market,world-heritage,1,1,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published/septimius-severus-arch,world-heritage,5,5,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/published/theatre,world-heritage,40,40,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/source,world-heritage,51,51,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/leptis-magna/theatre,world-heritage,4,4,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/LY-AKA-000023,world-heritage,3,3,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/LY-AKA-000029,world-heritage,3,3,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/LY-AKA-000030,world-heritage,3,3,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
assets/media/LIBYA/heritage/LY-AKA-000032,world-heritage,3,3,0,user_curated_folder_structure,True,True,Layer assignment is user-curated; feature assignment requires explicit evidence.
