site,feature_id,name_ar,name_en,site_role,local_images_count,image_count,image_status,popup_test_status,notes
LEPTIS,WH-MAIN-001,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,Archaeological Site of Leptis Magna,primary,55,55,real_images,pass,
LEPTIS,WH-MAIN-001-C0001,بوابة أويا,Oya Gate,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0004,حمامات الصيد,Hunting Baths,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0005,منتزه لبدة السياحي,Leptis Tourist Park,component,0,0,placeholder_only,pass,
LEPTIS,WH-MAIN-001-C0004,استراحة تازويت,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0006,قوس تابريوس,Arch of Tiberius,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0007,معبد العائلة السيفيرية,Temple of the Severan Family,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0008,قوس أنطونيوس,Arch of Antonius pius,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0009,الميدان القديم,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0010,حمامات غير مكتملة,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0011,المعبد الشرقي,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0012,شرفة مبنى عام تطل على ميدان,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0013,شرفة خلفية,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0014,نصب لميسر,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0015,المدرسة,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0016,معبد دوكيومانوس,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0017,معبد جوبيتير دوليكينوس,Temple of Jupiter Dolikinus,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0018,الميناء,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0019,المعبد الفلافي,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0020,ساحة نيرون النيروتية,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0021,مدخل الميناء في القرن الأول الميلادي,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0022,المنارة,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0023,برج الاشارة,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0024,معبد دوري,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0025,الحمامات الشرقية,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0026,المسرح,theatre of lebda,component,14,14,real_images,pass,
LEPTIS,WH-LY-001-0027,ضريح قصر شداد,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0001,قوس سبتيموس سفيروس,Arch of Septimus severus,component,5,5,real_images,pass,
LEPTIS,WH-LY-001-0028,قوس الإمبراطور تراجان,"___json[{""pathname"":""/LIBYA/Leptis Magna/Leptis Magna_photo/قوس الإمبراطور تراجان.jpg"",""rid"":20811883,""lid"":""4128517"",""fid"":24,""field"":""en_name"",""title"":""قوس الإمبراطور تراجان.jpg"",""ext"":""jpg"",""panorama"":false,""isDir",component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0029,ضريح زرجام,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0030,نيمافيوم,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0031,معبد جوبيتير,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0032,الجدار البيزنطي,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0033,ضريح الدويرات,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0034,متحف الفسيفساء,Museum,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0035,مقاهي واستراحة وموقف سيارات,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0036,مطعم الجرة,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0037,ساحة الرياضة (بالسترا),,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0038,متحف الفسيفساء,Museum,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0039,معبد سيرابيس,serapaeum,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0040,وادي لبدة,Wadi Lubda,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0041,مصيف الخمس,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0042,متحف لبدة,leptis Magna Museum,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0043,مطعم الجرة,al jarra restaurant,component,0,0,placeholder_only,pass,
LEPTIS,WH-MAIN-001-C0044,قوس ماركوس أوروليوس,Arch of Marcus Aurilus,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0044,حمامات هادريان,Hadrian's Baths,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0045,الساحة السيفيرية,forum of severus,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0046,البوابة البيزنطية,Porta Bizantina,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0047,باسيلقا سيفيروس,Bacillca of SeverusSeveran Basilica,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0048,السوق الرومانية,Romanian Market,component,1,1,real_images,pass,
LEPTIS,WH-LY-001-0049,Christian church,,component,0,0,placeholder_only,pass,
LEPTIS,WH-LY-001-0002,المسرح الروماني الخمس _ ليبيا,Roman Theatre of Leptis Magna,component,14,14,real_images,pass,
LEPTIS,WH-LY-001-0050,ميدان السباق,,component,0,0,placeholder_only,pass,
LEPTIS,WH-TEAM-0001,مسرح لبدة,,heritage_component,0,0,placeholder_only,pass,
LEPTIS,WH-TEAM-0002,Basilica of Severus,,heritage_component,0,0,placeholder_only,pass,
LEPTIS,WH-TEAM-0003,"Leptis Magna, Hunting Baths",,heritage_component,0,0,placeholder_only,pass,
LEPTIS,WH-TEAM-0004,Curia,,heritage_component,0,0,placeholder_only,pass,
LEPTIS,WH-TEAM-0005,زايد السياحي,,tourism_facility,0,0,placeholder_only,pass,
