image_id,feature_id,rights_status_before,rights_status_after,rights_holder,license_type,publication_permission,attribution_required,source_credit,evidence_type,evidence_relative_path,evidence_description,evidence_confidence,institutional_confirmation_required,notes
IMG-999768C579ECBD3C,LY-AKA-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7015278AADE3E5BC,LY-AKA-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-4B4D9341ECD5EDD3,LY-AKA-000002,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-8722BEAF969F24C9,LY-AKA-000002,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A6502784F8A1D0D1,LY-AKA-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-ADDF595837F0B52C,LY-AKA-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-41B72039E43F241A,LY-AKA-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7003156A53D8CECB,LY-AKA-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3F13533602B0C8D8,LY-AKA-000005,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-91A14967F2386EE0,LY-AKA-000005,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0E5AC5BAD86E0B4D,LY-AKA-000006,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-17B4551D566D1C56,LY-AKA-000006,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
