review_item_id,image_id,source_relative_path,master_image_id,feature_id,layer_id,feature_name_ar,facility_type,city_ar,review_reason,primary_candidate,shared_image_case,master_replacement_candidate,technical_quality,automatic_match_basis,rights_status,manual_review_required,notes
B2A-ITEM-00001,IMG-4B76AA9E191EC586,assets/images/hotels/hotels-LY-HOTELS-00342-01.webp,IMG-E46FAAB47F3CCBB1,LY-HOT-000342,hotels,فندق غريان السياحي,hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00002,IMG-007802D9BC5D755F,assets/images/hotels/hotels-LY-HOTELS-00320-01.webp,IMG-F35449759FEAB1E9,LY-HOT-000320,hotels,فندق الرحال,apartment_hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00003,IMG-253F76E0FE94EBF3,assets/images/hotels/hotels-LY-HOTELS-00020-03.webp,,LY-HOT-000164,hotels,فندق المسيرة,hotel,,shared_image_case,false,true,false,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00004,IMG-BACA013556C590D9,assets/images/hotels/hotels-LY-HOTELS-00360-01.webp,IMG-B0AD9CF0FB43F42C,LY-HOT-000360,hotels,فندق مرحبا للخدمات السياحية,hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00005,IMG-1841627598673B86,assets/images/hotels/hotels-LY-HOTELS-00408-01.webp,IMG-4EC27B635DB76293,LY-HOT-000408,hotels,جواهر العاصمة للشقق الفندقية,hostel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00006,IMG-8F2297D7FBB16C96,assets/images/hotels/hotels-LY-HOTELS-00071-01.webp,IMG-4C4A7EF4E59E1C56,LY-HOT-000071,hotels,فندق القوس,hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00007,IMG-418C257283B4249C,assets/images/hotels/hotels-LY-HOTELS-00116-01.webp,IMG-C8E867675C8382FE,LY-HOT-000116,hotels,فندق قمر صبراتة,hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00008,IMG-110FEF464D2C395F,assets/images/hotels/hotels-LY-HOTELS-00031-02.webp,IMG-BE5EAB4A5C09CAA4,LY-HOT-000115,hotels,فندق قصر الفيروز,hotel,,primary_candidate,true,true,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00009,IMG-23AE35FD4B853F4A,assets/images/hotels/hotels-LY-HOTELS-00209-01.webp,IMG-183CEDE059F1A189,LY-HOT-000209,hotels,فندق ديار الهناء,hotel,,primary_candidate,true,false,true,thumbnail_only,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
B2A-ITEM-00010,IMG-4CAA6944989EC466,assets/images/hotels/hotels-LY-HOTELS-00444-01.webp,IMG-2614A446FDF324E4,LY-HOT-000444,hotels,فندق الريان,hotel,,primary_candidate,true,false,true,high,existing_link,unknown,true,"Existing local linkage; technical evidence only, not visual verification."
