relationship_id,record_a_layer,record_a_id,record_a_name,record_b_layer,record_b_id,record_b_name,relationship_type,relationship_status,distance_meters,name_similarity,spatial_relationship,confidence,recommended_display_behavior,requires_manual_review,notes
REL-00001,hotels,LY-HOT-000005,منتجع شحات السياحي,resorts,LY-ACC-RES-SHA-00001,منتج شحات السياحي,hotel_inside_resort,unresolved,11.5,0.968,nearby,low,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00002,hotels,LY-HOT-000011,منتجع الينابيع السياحي,resorts,LY-ACC-RES-NAT-00038,منتجع الينابيع السياحي,hotel_inside_resort,unresolved,44.1,1.0,nearby,low,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00003,hotels,LY-HOT-000026,منتجع وموتيل الأمان,resorts,LY-ACC-RES-SHA-00002,منتجع وموتيل الأمان 1,hotel_inside_resort,unresolved,44.4,0.971,nearby,low,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00004,hotels,LY-HOT-000370,Sabratha youth hostel _بيت شباب صبراتة,resorts,LY-ACC-RES-SAB-00007,Sabratha youth hostel _بيت شباب صبراتة,hotel_inside_resort,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00005,hotels,LY-HOT-000371,Lancaster Al Salam Resort - منتجع لانكستر السلام,resorts,LY-ACC-RES-NAT-00063,Lancaster Al Salam Resort - منتجع لانكستر السلام,hotel_inside_resort,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00006,hotels,LY-HOT-000001,فندق كورنثيا,investment,LY-INV-HOT-TRI-00002,فندق كورنثيا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00007,hotels,LY-HOT-000002,فندق بينثابوليس,investment,LY-INV-HOT-BAY-00001,فندق بينثابوليس,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00008,hotels,LY-HOT-000004,فندق تبرس,investment,LY-INV-HOT-TRI-00003,فندق تبرس,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00009,hotels,LY-HOT-000005,منتجع شحات السياحي,investment,LY-INV-RES-SHA-00001,منتج شحات السياحي,facility_and_investment_project,probable,11.5,0.968,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00010,hotels,LY-HOT-000005,منتجع شحات السياحي,investment,LY-INV-RES-SHA-00010,منتجع شحات السياحي,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
