image_id,source_relative_path,rights_status_before,rights_status_after,rights_holder,license_type,publication_permission,attribution_required,source_credit,evidence_type,evidence_relative_path,evidence_description,evidence_confidence,institutional_confirmation_required,review_status,notes
IMG-999768C579ECBD3C,assets/images/akakus/akakus-LY-AKAKUS-00001-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7015278AADE3E5BC,assets/images/akakus/akakus-LY-AKAKUS-00001-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-4B4D9341ECD5EDD3,assets/images/akakus/akakus-LY-AKAKUS-00002-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-8722BEAF969F24C9,assets/images/akakus/akakus-LY-AKAKUS-00002-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-A6502784F8A1D0D1,assets/images/akakus/akakus-LY-AKAKUS-00003-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-ADDF595837F0B52C,assets/images/akakus/akakus-LY-AKAKUS-00003-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-41B72039E43F241A,assets/images/akakus/akakus-LY-AKAKUS-00004-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7003156A53D8CECB,assets/images/akakus/akakus-LY-AKAKUS-00004-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3F13533602B0C8D8,assets/images/akakus/akakus-LY-AKAKUS-00005-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-91A14967F2386EE0,assets/images/akakus/akakus-LY-AKAKUS-00005-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-0E5AC5BAD86E0B4D,assets/images/akakus/akakus-LY-AKAKUS-00006-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-17B4551D566D1C56,assets/images/akakus/akakus-LY-AKAKUS-00006-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-BB1595B24E64B47B,assets/images/akakus/akakus-LY-AKAKUS-00007-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-285EB2A8E7B3937D,assets/images/akakus/akakus-LY-AKAKUS-00007-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
