record_a_id,record_a_name,record_b_id,record_b_name,distance_meters,name_similarity,duplicate_classification,recommended_action,notes
LY-HOT-000017,فندق فكتوريا,LY-HOT-000536,فندق فكتوريا,7.1,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000019,فندق الودان,LY-HOT-000492,فندق الودان,49.8,1,review_required,retain_and_review,No automatic merge performed
LY-HOT-000036,فندق الأخوة,LY-HOT-000418,فندق الاخوة,6.2,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000037,فندق الأصالة,LY-HOT-000419,فندق الاصالة,18.3,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000039,فندق الأندلس,LY-HOT-000420,فندق الاندلس,16.2,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000048,فندق الحمام السياحي,LY-HOT-000136,فندق الحمام السياحي,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000049,فندق الخان الطرابلسي,LY-HOT-000137,فندق الخان الطرابلسي,5.5,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000049,فندق الخان الطرابلسي,LY-HOT-000428,فندق الخان الطرابلسي,6.2,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000050,فندق الخليج,LY-HOT-000375,فندق الخليج,5.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000050,فندق الخليج,LY-HOT-000429,فندق الخليج,1.3,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000051,فندق الدبلوماسي,LY-HOT-000432,فندق الدبلوماسي,1.2,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000052,فندق الدوحة,LY-HOT-000433,فندق الدوحة,19.7,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000053,فندق الديار,LY-HOT-000434,فندق الديار,2.7,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000054,فندق الرابطة,LY-HOT-000340,فندق الرابطة,3.6,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000055,فندق الرفيع,LY-HOT-000442,فندق الرفيع,12.7,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000056,فندق الريان,LY-HOT-000444,فندق الريان,3.6,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000057,فندق الزهر,LY-HOT-000139,فندق الزهر,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000059,فندق السرايا,LY-HOT-000141,فندق السرايا,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000060,فندق زوارة,LY-HOT-000142,فندق السلام,0.0,0.353,possible_duplicate,retain_and_review,No automatic merge performed
LY-HOT-000061,فندق السندباد,LY-HOT-000453,فندق السندباد,4.7,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000062,فندق الشجرة,LY-HOT-000455,فندق الشجرة,14.8,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000064,فندق الشمس,LY-HOT-000456,فندق الشمس,8.8,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000065,فندق الصفوة,LY-HOT-000572,فندق الصفوة,16.7,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000066,فندق الصناعية مصراتة,LY-HOT-000147,فندق الصناعية مصراتة,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000067,فندق الصولجان,LY-HOT-000459,فندق الصولجان,1.9,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000068,فندق العاصمة,LY-HOT-000462,فندق العاصمة,23.3,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000071,فندق القوس,LY-HOT-000470,فندق القوس,11.8,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000073,فندق الكرومة,LY-HOT-000156,فندق الكرومة,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000075,فندق المتوسط,LY-HOT-000158,فندق المتوسط الخمس,0.0,0.833,possible_duplicate,retain_and_review,No automatic merge performed
LY-HOT-000076,فندق المدينة,LY-HOT-000161,فندق المدينة,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000077,فندق المشكاة,LY-HOT-000165,فندق المشكاة,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000077,فندق المشكاة,LY-HOT-000482,فندق المشكاة,11.3,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000078,فندق المنامة,LY-HOT-000483,فندق المنامة,29.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000079,فندق النخلة,LY-HOT-000169,فندق النخلة السياحي,0.0,0.75,possible_duplicate,retain_and_review,No automatic merge performed
LY-HOT-000081,فندق النهر,LY-HOT-000486,فندق النهر,4.9,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000082,فندق الهنشيري,LY-HOT-000173,فندق الهنشيري,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000083,فندق الهيشة,LY-HOT-000174,فندق الهيشة,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000084,فندق الواحات,LY-HOT-000175,فندق الواحات,0.0,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
LY-HOT-000084,فندق الواحات,LY-HOT-000490,فندق الواحات,3.5,1,confirmed_duplicate,merge_after_manual_confirmation,No automatic merge performed
