id,name_ar,data_quality_status,data_review_status,missing_fields,notes
LY-INV-RES-ZUW-00001,قرية إدوس السياحية,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-TRI-00001,قرية مرمرة السياحية,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00002,قرية فيرونا السياحية,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00003,قرية البرتقالة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00004,قرية شط النخيل زوارة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00005,قرية أوليڤيا السياحية - زوارة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00006,منتجع رياض المنصوري,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00007,إقامة تولين السياحية,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00008,VILLA HAYA,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00009,منتجع زين السياحي,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00010,قرية تيبودا السياحيه,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-ZUW-00011,منتجع سيتي بارك زوارة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-SAB-00001,قرية جوهرة صبراتة السياحية,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-HOT-SAB-00001,قرية المغرب العربي صبراتة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-SAB-00002,مركب تليل السياحي_صبراتة,low,integrated,site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
LY-INV-RES-NAT-00001,القرية السياحية جنزور,low,integrated,municipality_ar|site_area_m2|ownership_type|estimated_cost|infrastructure_status|legal_status|license_status,Requires authoritative completion; generated labels are not official names.
