feature_id,layer_id,name_ar,publication_status,current_local_image_count,current_primary_image,verified_images,public_rights_images,internal_only_images,high_quality_candidates,review_candidates,coverage_priority,recommended_action,notes
LY-HOT-000001,hotels,فندق كورنثيا,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000002,hotels,فندق بينثابوليس,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000003,hotels,فندق جوهرة الواحة,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000004,hotels,فندق تبرس,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000005,hotels,منتجع شحات السياحي,public_ready,3,,0,0,0,1,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000006,hotels,فندق المنارة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000009,hotels,العنود للشقق الفندقية,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000010,hotels,فندق الثريا,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000011,hotels,منتجع الينابيع السياحي,public_ready,2,,0,0,0,2,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000012,hotels,فندق برقة,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000013,hotels,فندق الهديل,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000014,hotels,فندق بن يدر,public_ready,0,,0,0,0,0,1,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000015,hotels,فندق نجوم غدامس,public_ready,0,,0,0,0,0,1,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000016,hotels,فندق باب الفتح,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000017,hotels,فندق فكتوريا,public_ready,0,,0,0,0,0,1,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000018,hotels,فندق الطاووس,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000019,hotels,فندق الودان,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000021,hotels,فندق سان جورج,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000022,hotels,فندق الحسنين الكبير,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000023,hotels,بيوت الشباب,public_ready,4,,0,0,0,2,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000025,hotels,منتجع ايميليا,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
