duplicate_group_id,image_id,master_image_id,group_decision,keep_as_distinct,publishable,recommended_role,technical_reason,visual_reason,rights_status,manual_review_completed,notes
DUP-00001,IMG-EA0D93EB480687A0,IMG-5A6315C65F17467F,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00001,IMG-5A6315C65F17467F,IMG-5A6315C65F17467F,uncertain,true,false,master_candidate,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-F5D1F46EA32C023F,IMG-86FE165F8F5ADA77,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-274B8FDFA79EB046,IMG-86FE165F8F5ADA77,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-B2EA5CD2AA8DDA4B,IMG-86FE165F8F5ADA77,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-D5C7DDCCE12EA1FE,IMG-86FE165F8F5ADA77,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-86FE165F8F5ADA77,IMG-86FE165F8F5ADA77,uncertain,true,false,master_candidate,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00002,IMG-3846ACBE12BE4A8B,IMG-86FE165F8F5ADA77,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00003,IMG-9F5857B22F267D30,IMG-9CBA64A32489C972,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
DUP-00003,IMG-D99918C989D67ED1,IMG-9CBA64A32489C972,uncertain,true,false,review,perceptual candidate only,not manually reviewed,unknown,false,No deletion; near groups require visual review.
